neutral	outlier_pcadapt	outlier_outflanck	outlier_bayescan
AX-578134351			
AX-578134354			
AX-578161764			
AX-578082454			
AX-578161768			
AX-578082458			
AX-578096002			
AX-578175268			
AX-578175270			
AX-578219673			
AX-578095994			
AX-578219674			
AX-578175272			
AX-578219675			
AX-578140468			
AX-578231155			
AX-578119568			
AX-578151949			
AX-578119570			
AX-578236394			
AX-578157187			
AX-578130521			
AX-578236398			
AX-578236399			
AX-578130522			
AX-578130523			
AX-578213124			
AX-578198254			
AX-578217011			
AX-578169206			
AX-578169207			
AX-578089922			
AX-578226820			
AX-578226822			
AX-578110618			
AX-578189875			
AX-578113136			
AX-578192389			
AX-578113138			
AX-578227996			
AX-578148789			
AX-578113141			
AX-578148780			
AX-578148781			
AX-578227993			
AX-578192386			
AX-578227995			
AX-578132631			
AX-578211836			
AX-578132626			
AX-578125617			
AX-578121073			
AX-578152665			
AX-578231875			
AX-578152669			
AX-578231867			
AX-578152661			
AX-578121076			
AX-578118059			
AX-578151178			
AX-578118048			
AX-578118050			
AX-578118055			
AX-578118056			
AX-578125780			
AX-578234098			
AX-578205007			
AX-578205009			
AX-578234095			
AX-578176917			
AX-578141300			
AX-578141301			
AX-578176919			
AX-578224797			
AX-578106440			
AX-578224800			
AX-578185703			
AX-578145581			
AX-578185686			
AX-578224790			
AX-578106427			
AX-578224791			
AX-578185689			
AX-578224792			
AX-578224793			
AX-578145586			
AX-578106429			
AX-578145604			
AX-578145605			
AX-578224814			
AX-578145607			
AX-578185730			
AX-578185732			
AX-578224816			
AX-578106474			
AX-578224817			
AX-578164417			
AX-578226797			
AX-578226804			
AX-578147599			
AX-578189855			
AX-578110600			
AX-578189857			
AX-578110602			
AX-578189852			
AX-578189854			
AX-578130326			
AX-578236258			
AX-578209543			
AX-578188881			
AX-578109619			
AX-578226327			
AX-578188877			
AX-578188869			
AX-578188870			
AX-578226326			
AX-578186216			
AX-578225067			
AX-578106957			
AX-578186220			
AX-578145860			
AX-578145861			
AX-578145862			
AX-578186221			
AX-578145863			
AX-578145858			
AX-578091759			
AX-578171042			
AX-578132151			
AX-578237161			
AX-578135192			
AX-578084193			
AX-578145994			
AX-578146001			
AX-578186552			
AX-578107292			
AX-578107276			
AX-578225198			
AX-578145992			
AX-578225201			
AX-578145995			
AX-578225205			
AX-578225207			
AX-578225208			
AX-578107285			
AX-578169255			
AX-578169257			
AX-578217026			
AX-578169241			
AX-578169242			
AX-578217022			
AX-578089958			
AX-578089967			
AX-578131591			
AX-578131592			
AX-578131593			
AX-578210793			
AX-578210795			
AX-578157690			
AX-578236901			
AX-578157692			
AX-578090642			
AX-578169928			
AX-578217342			
AX-578090650			
AX-578193254			
AX-578149270			
AX-578228479			
AX-578149273			
AX-578149258			
AX-578193243			
AX-578193244			
AX-578149261			
AX-578228471			
AX-578228474			
AX-578228475			
AX-578149268			
AX-578138127			
AX-578090597			
AX-578169880			
AX-578232770			
AX-578123048			
AX-578087673			
AX-578215926			
AX-578136718			
AX-578136719			
AX-578215929			
AX-578215919			
AX-578215920			
AX-578215921			
AX-578215922			
AX-578087668			
AX-578136714			
AX-578136715			
AX-578087672			
AX-578113959			
AX-578214841			
AX-578217286			
AX-578118258			
AX-578197502			
AX-578112773			
AX-578192028			
AX-578112775			
AX-578192031			
AX-578227841			
AX-578161381			
AX-578082071			
AX-578082073			
AX-578140108			
AX-578140109			
AX-578095209			
AX-578174472			
AX-578095194			
AX-578174474			
AX-578095196			
AX-578095201			
AX-578174484			
AX-578144876			
AX-578144875			
AX-578184272			
AX-578105006			
AX-578139146			
AX-578139148			
AX-578172381			
AX-578172377			
AX-578163648			
AX-578163650			
AX-578237737			
AX-578167297			
AX-578216062			
AX-578216064			
AX-578167294			
AX-578216065			
AX-578087999			
AX-578086882			
AX-578166167			
AX-578086874			
AX-578136380			
AX-578215592			
AX-578166169			
AX-578160544			
AX-578129913			
AX-578129912			
AX-578221939			
AX-578221940			
AX-578100550			
AX-578100552			
AX-578179823			
AX-578142734			
AX-578142735			
AX-578120875			
AX-578200114			
AX-578200115			
AX-578120880			
AX-578231780			
AX-578200117			
AX-578231781			
AX-578152575			
AX-578152576			
AX-578166207			
AX-578132045			
AX-578211258			
AX-578184308			
AX-578105048			
AX-578105052			
AX-578184315			
AX-578141496			
AX-578141498			
AX-578097957			
AX-578177233			
AX-578141493			
AX-578223143			
AX-578182379			
AX-578223142			
AX-578175792			
AX-578135808			
AX-578085627			
AX-578085628			
AX-578094585			
AX-578219479			
AX-578095560			
AX-578095561			
AX-578174825			
AX-578174827			
AX-578095549			
AX-578140268			
AX-578187435			
AX-578108178			
AX-578187437			
AX-578225644			
AX-578140987			
AX-578220201			
AX-578140994			
AX-578220203			
AX-578140996			
AX-578097016			
AX-578176294			
AX-578176282			
AX-578097006			
AX-578113427			
AX-578192679			
AX-578192680			
AX-578113430			
AX-578113425			
AX-578113426			
AX-578116976			
AX-578150706			
AX-578196216			
AX-578170669			
AX-578217632			
AX-578170673			
AX-578217633			
AX-578138426			
AX-578138427			
AX-578170675			
AX-578091396			
AX-578138429			
AX-578138431			
AX-578121680			
AX-578121684			
AX-578200908			
AX-578232163			
AX-578091503			
AX-578217676			
AX-578138469			
AX-578170789			
AX-578091508			
AX-578170783			
AX-578109738			
AX-578207132			
AX-578234870			
AX-578107546			
AX-578186807			
AX-578146109			
AX-578097671			
AX-578097672			
AX-578083072			
AX-578083073			
AX-578161367			
AX-578161374			
AX-578231006			
AX-578095398			
AX-578219465			
AX-578140258			
AX-578174802			
AX-578095512			
AX-578095515			
AX-578140255			
AX-578123330			
AX-578153694			
AX-578202562			
AX-578202563			
AX-578202564			
AX-578153697			
AX-578153698			
AX-578153699			
AX-578232906			
AX-578232907			
AX-578123339			
AX-578123320			
AX-578202551			
AX-578202552			
AX-578123323			
AX-578202556			
AX-578214905			
AX-578085324			
AX-578214908			
AX-578135700			
AX-578085313			
AX-578164617			
AX-578085317			
AX-578128082			
AX-578235167			
AX-578207279			
AX-578128064			
AX-578128065			
AX-578128066			
AX-578128067			
AX-578128068			
AX-578128069			
AX-578128071			
AX-578128074			
AX-578207292			
AX-578128077			
AX-578207294			
AX-578128080			
AX-578128085			
AX-578155954			
AX-578235163			
AX-578155957			
AX-578207303			
AX-578207304			
AX-578163968			
AX-578214616			
AX-578163973			
AX-578163977			
AX-578178774			
AX-578178775			
AX-578178777			
AX-578221469			
AX-578142263			
AX-578142261			
AX-578170384			
AX-578091096			
AX-578100666			
AX-578100667			
AX-578103916			
AX-578103903			
AX-578223515			
AX-578103906			
AX-578103907			
AX-578144309			
AX-578223517			
AX-578183172			
AX-578144311			
AX-578183176			
AX-578132119			
AX-578157939			
AX-578211336			
AX-578211339			
AX-578211333			
AX-578214204			
AX-578083755			
AX-578214207			
AX-578163065			
AX-578134998			
AX-578163066			
AX-578134999			
AX-578163067			
AX-578112114			
AX-578112115			
AX-578191371			
AX-578191376			
AX-578227528			
AX-578112125			
AX-578228540			
AX-578222784			
AX-578222786			
AX-578181607			
AX-578102332			
AX-578181599			
AX-578181600			
AX-578236324			
AX-578086437			
AX-578113311			
AX-578145407			
AX-578106088			
AX-578224624			
AX-578145417			
AX-578106096			
AX-578145418			
AX-578185339			
AX-578185340			
AX-578106082			
AX-578145411			
AX-578106085			
AX-578230212			
AX-578180813			
AX-578222445			
AX-578222435			
AX-578180807			
AX-578222438			
AX-578222439			
AX-578143234			
AX-578222442			
AX-578101542			
AX-578225488			
AX-578187140			
AX-578146282			
AX-578146283			
AX-578146284			
AX-578225481			
AX-578107879			
AX-578146274			
AX-578146275			
AX-578146276			
AX-578225487			
AX-578131891			
AX-578157834			
AX-578131885			
AX-578237045			
AX-578087500			
AX-578166792			
AX-578087495			
AX-578165723			
AX-578086431			
AX-578155790			
AX-578155791			
AX-578155792			
AX-578207013			
AX-578207014			
AX-578207015			
AX-578127800			
AX-578217917			
AX-578138711			
AX-578171337			
AX-578171338			
AX-578092058			
AX-578171342			
AX-578217916			
AX-578171344			
AX-578146883			
AX-578199095			
AX-578199071			
AX-578119841			
AX-578152073			
AX-578119844			
AX-578152074			
AX-578152077			
AX-578199090			
AX-578119853			
AX-578152080			
AX-578096510			
AX-578200708			
AX-578121475			
AX-578135235			
AX-578135239			
AX-578084273			
AX-578163578			
AX-578084276			
AX-578116883			
AX-578196126			
AX-578116891			
AX-578150657			
AX-578116894			
AX-578086686			
AX-578165981			
AX-578165983			
AX-578086685			
AX-578185710			
AX-578145593			
AX-578145599			
AX-578185707			
AX-578201305			
AX-578122081			
AX-578122077			
AX-578098898			
AX-578221193			
AX-578141987			
AX-578148103			
AX-578190930			
AX-578190931			
AX-578190932			
AX-578111681			
AX-578190936			
AX-578124750			
AX-578124751			
AX-578124753			
AX-578233567			
AX-578154363			
AX-578233572			
AX-578154368			
AX-578124748			
AX-578175550			
AX-578219809			
AX-578231596			
AX-578199774			
AX-578199777			
AX-578152390			
AX-578120542			
AX-578116497			
AX-578195727			
AX-578195732			
AX-578144073			
AX-578182697			
AX-578106220			
AX-578106225			
AX-578201408			
AX-578201409			
AX-578201412			
AX-578153198			
AX-578133856			
AX-578160707			
AX-578133857			
AX-578160708			
AX-578133858			
AX-578133860			
AX-578146008			
AX-578225217			
AX-578146011			
AX-578146013			
AX-578165381			
AX-578165379			
AX-578136032			
AX-578215242			
AX-578165380			
AX-578136035			
AX-578215245			
AX-578086088			
AX-578215238			
AX-578086081			
AX-578215239			
AX-578136031			
AX-578233587			
AX-578233591			
AX-578154386			
AX-578110908			
AX-578190146			
AX-578110892			
AX-578190148			
AX-578190152			
AX-578190153			
AX-578147744			
AX-578226953			
AX-578190156			
AX-578226954			
AX-578086261			
AX-578215308			
AX-578136100			
AX-578215306			
AX-578086254			
AX-578121208			
AX-578121210			
AX-578183912			
AX-578164900			
AX-578087755			
AX-578215947			
AX-578167048			
AX-578167053			
AX-578136737			
AX-578087744			
AX-578167042			
AX-578167043			
AX-578087753			
AX-578103693			
AX-578144185			
AX-578182941			
AX-578144186			
AX-578144187			
AX-578103685			
AX-578144188			
AX-578223396			
AX-578223397			
AX-578103691			
AX-578103692			
AX-578108575			
AX-578108577			
AX-578187836			
AX-578187837			
AX-578187838			
AX-578187841			
AX-578217743			
AX-578170931			
AX-578091649			
AX-578091650			
AX-578170934			
AX-578091652			
AX-578091653			
AX-578138536			
AX-578170937			
AX-578138537			
AX-578091655			
AX-578170939			
AX-578170929			
AX-578126173			
AX-578205396			
AX-578234289			
AX-578155083			
AX-578155084			
AX-578155087			
AX-578234280			
AX-578155073			
AX-578234282			
AX-578205376			
AX-578205377			
AX-578126155			
AX-578126157			
AX-578205385			
AX-578205386			
AX-578126162			
AX-578126165			
AX-578126169			
AX-578171482			
AX-578171465			
AX-578092182			
AX-578171474			
AX-578162114			
AX-578141207			
AX-578176690			
AX-578141208			
AX-578141209			
AX-578141204			
AX-578141205			
AX-578157304			
AX-578209991			
AX-578236515			
AX-578157306			
AX-578236519			
AX-578209992			
AX-578133033			
AX-578133037			
AX-578174900			
AX-578095623			
AX-578219495			
AX-578140288			
AX-578140289			
AX-578219499			
AX-578195287			
AX-578195288			
AX-578172171			
AX-578218280			
AX-578172173			
AX-578218273			
AX-578092883			
AX-578218276			
AX-578139070			
AX-578218279			
AX-578172168			
AX-578172170			
AX-578233390			
AX-578233391			
AX-578154180			
AX-578203512			
AX-578154181			
AX-578124298			
AX-578203530			
AX-578173871			
AX-578094590			
AX-578219056			
AX-578139849			
AX-578094588			
AX-578219055			
AX-578150524			
AX-578150520			
AX-578195848			
AX-578116609			
AX-578229732			
AX-578210060			
AX-578203945			
AX-578233560			
AX-578138869			
AX-578218079			
AX-578218087			
AX-578138883			
AX-578138884			
AX-578138865			
AX-578171674			
AX-578171680			
AX-578092401			
AX-578218078			
AX-578218082			
AX-578138877			
AX-578218090			
AX-578166580			
AX-578166581			
AX-578166582			
AX-578087294			
AX-578166587			
AX-578103138			
AX-578143945			
AX-578182394			
AX-578103135			
AX-578103136			
AX-578103137			
AX-578223149			
AX-578223151			
AX-578109585			
AX-578122463			
AX-578201695			
AX-578232522			
AX-578232523			
AX-578201696			
AX-578122466			
AX-578201698			
AX-578133977			
AX-578081636			
AX-578081638			
AX-578081639			
AX-578081641			
AX-578160958			
AX-578105459			
AX-578105462			
AX-578184728			
AX-578145103			
AX-578105456			
AX-578145104			
AX-578156079			
AX-578128315			
AX-578174072			
AX-578094779			
AX-578094782			
AX-578174066			
AX-578172246			
AX-578218310			
AX-578092963			
AX-578172248			
AX-578092966			
AX-578172240			
AX-578201295			
AX-578122065			
AX-578206886			
AX-578155731			
AX-578155732			
AX-578155735			
AX-578206891			
AX-578233142			
AX-578203011			
AX-578203013			
AX-578203014			
AX-578153930			
AX-578203008			
AX-578233140			
AX-578208153			
AX-578180539			
AX-578143108			
AX-578222317			
AX-578101275			
AX-578143111			
AX-578101278			
AX-578143113			
AX-578180548			
AX-578180551			
AX-578166357			
AX-578087067			
AX-578215665			
AX-578218399			
AX-578172483			
AX-578218400			
AX-578093201			
AX-578093202			
AX-578183721			
AX-578105519			
AX-578105521			
AX-578228577			
AX-578228578			
AX-578114187			
AX-578114188			
AX-578193439			
AX-578149372			
AX-578149368			
AX-578204013			
AX-578204016			
AX-578154392			
AX-578233600			
AX-578161567			
AX-578161569			
AX-578218673			
AX-578173074			
AX-578204632			
AX-578233852			
AX-578204633			
AX-578233853			
AX-578125410			
AX-578154643			
AX-578204623			
AX-578125399			
AX-578204628			
AX-578182040			
AX-578222993			
AX-578222994			
AX-578153643			
AX-578202453			
AX-578123224			
AX-578118688			
AX-578205810			
AX-578234469			
AX-578185649			
AX-578224763			
AX-578185650			
AX-578106391			
AX-578236287			
AX-578236285			
AX-578209583			
AX-578130365			
AX-578157076			
AX-578209587			
AX-578141382			
AX-578141391			
AX-578177060			
AX-578177061			
AX-578097787			
AX-578220588			
AX-578141385			
AX-578220593			
AX-578141387			
AX-578220595			
AX-578097781			
AX-578097783			
AX-578183442			
AX-578223666			
AX-578104182			
AX-578183437			
AX-578144456			
AX-578104174			
AX-578104175			
AX-578183441			
AX-578108686			
AX-578108667			
AX-578225903			
AX-578146696			
AX-578187933			
AX-578132645			
AX-578211861			
AX-578211862			
AX-578158223			
AX-578211868			
AX-578211869			
AX-578237435			
AX-578211870			
AX-578161284			
AX-578081969			
AX-578081973			
AX-578213339			
AX-578134130			
AX-578134131			
AX-578161283			
AX-578139770			
AX-578173650			
AX-578137020			
AX-578137021			
AX-578216231			
AX-578167570			
AX-578137013			
AX-578167555			
AX-578088267			
AX-578137014			
AX-578137015			
AX-578216225			
AX-578216226			
AX-578137019			
AX-578167561			
AX-578167563			
AX-578093680			
AX-578179903			
AX-578179908			
AX-578100640			
AX-578133906			
AX-578133908			
AX-578081500			
AX-578081501			
AX-578081504			
AX-578081505			
AX-578160820			
AX-578133902			
AX-578081493			
AX-578160809			
AX-578104008			
AX-578104009			
AX-578181236			
AX-578101972			
AX-578101973			
AX-578143393			
AX-578222602			
AX-578213999			
AX-578214000			
AX-578083402			
AX-578162710			
AX-578134792			
AX-578162711			
AX-578173295			
AX-578173292			
AX-578105735			
AX-578129275			
AX-578129276			
AX-578142380			
AX-578099722			
AX-578142373			
AX-578142374			
AX-578142377			
AX-578145701			
AX-578106650			
AX-578224911			
AX-578145704			
AX-578171423			
AX-578092138			
AX-578195796			
AX-578150492			
AX-578229702			
AX-578229703			
AX-578116560			
AX-578116561			
AX-578229704			
AX-578229705			
AX-578191969			
AX-578191973			
AX-578148605			
AX-578170171			
AX-578148728			
AX-578161929			
AX-578134422			
AX-578213635			
AX-578082617			
AX-578134421			
AX-578082512			
AX-578111280			
AX-578147910			
AX-578134863			
AX-578134867			
AX-578162878			
AX-578162870			
AX-578100215			
AX-578221814			
AX-578100211			
AX-578142626			
AX-578221835			
AX-578142628			
AX-578142629			
AX-578100272			
AX-578179541			
AX-578179532			
AX-578179535			
AX-578179536			
AX-578179538			
AX-578083917			
AX-578083918			
AX-578083924			
AX-578176472			
AX-578176462			
AX-578176466			
AX-578141091			
AX-578141092			
AX-578097192			
AX-578148861			
AX-578140667			
AX-578096390			
AX-578187468			
AX-578146448			
AX-578108218			
AX-578225658			
AX-578146451			
AX-578225655			
AX-578207890			
AX-578207892			
AX-578128680			
AX-578156230			
AX-578128667			
AX-578125944			
AX-578125945			
AX-578125949			
AX-578125950			
AX-578125951			
AX-578234173			
AX-578227670			
AX-578145083			
AX-578145084			
AX-578105410			
AX-578184673			
AX-578105412			
AX-578184675			
AX-578184676			
AX-578145085			
AX-578224294			
AX-578193319			
AX-578228517			
AX-578114071			
AX-578228519			
AX-578143330			
AX-578181074			
AX-578143331			
AX-578181075			
AX-578181080			
AX-578222541			
AX-578232193			
AX-578152985			
AX-578121737			
AX-578200970			
AX-578200972			
AX-578121742			
AX-578088928			
AX-578124082			
AX-578207509			
AX-578207503			
AX-578128289			
AX-578128290			
AX-578207508			
AX-578235279			
AX-578202590			
AX-578123362			
AX-578202592			
AX-578194811			
AX-578194810			
AX-578150036			
AX-578223424			
AX-578144219			
AX-578182992			
AX-578144220			
AX-578144222			
AX-578144223			
AX-578144212			
AX-578144214			
AX-578144215			
AX-578144216			
AX-578196074			
AX-578116834			
AX-578138559			
AX-578138564			
AX-578217773			
AX-578091715			
AX-578170985			
AX-578170987			
AX-578091706			
AX-578217766			
AX-578217768			
AX-578138563			
AX-578130049			
AX-578122975			
AX-578082762			
AX-578162066			
AX-578082759			
AX-578232002			
AX-578091081			
AX-578091082			
AX-578091083			
AX-578091087			
AX-578091088			
AX-578138269			
AX-578146717			
AX-578225926			
AX-578108729			
AX-578225918			
AX-578225921			
AX-578225922			
AX-578187997			
AX-578188000			
AX-578188001			
AX-578220040			
AX-578096699			
AX-578175978			
AX-578175979			
AX-578174099			
AX-578219146			
AX-578174100			
AX-578174101			
AX-578186756			
AX-578107498			
AX-578219427			
AX-578174726			
AX-578140220			
AX-578140221			
AX-578174728			
AX-578095441			
AX-578174723			
AX-578174725			
AX-578116575			
AX-578229708			
AX-578150500			
AX-578205035			
AX-578125803			
AX-578205032			
AX-578154893			
AX-578125805			
AX-578231059			
AX-578231061			
AX-578231062			
AX-578122808			
AX-578122809			
AX-578182285			
AX-578103017			
AX-578143886			
AX-578143887			
AX-578103023			
AX-578143884			
AX-578223092			
AX-578196089			
AX-578196090			
AX-578116850			
AX-578229854			
AX-578225370			
AX-578163265			
AX-578215121			
AX-578165138			
AX-578215117			
AX-578085826			
AX-578215119			
AX-578085832			
AX-578085833			
AX-578085835			
AX-578135911			
AX-578216681			
AX-578168546			
AX-578168549			
AX-578221297			
AX-578099141			
AX-578178412			
AX-578201355			
AX-578122125			
AX-578142107			
AX-578211655			
AX-578158089			
AX-578132424			
AX-578132426			
AX-578211644			
AX-578237305			
AX-578132437			
AX-578237307			
AX-578211653			
AX-578140905			
AX-578140906			
AX-578220115			
AX-578220116			
AX-578096865			
AX-578096867			
AX-578176146			
AX-578220119			
AX-578108940			
AX-578108941			
AX-578169845			
AX-578134706			
AX-578134708			
AX-578157340			
AX-578130800			
AX-578157332			
AX-578210022			
AX-578157333			
AX-578236545			
AX-578157336			
AX-578236547			
AX-578087718			
AX-578194332			
AX-578112967			
AX-578192223			
AX-578181923			
AX-578181926			
AX-578181908			
AX-578143713			
AX-578222921			
AX-578143715			
AX-578222924			
AX-578143721			
AX-578143726			
AX-578181920			
AX-578135458			
AX-578084766			
AX-578084767			
AX-578164076			
AX-578135455			
AX-578214668			
AX-578164072			
AX-578084771			
AX-578138371			
AX-578138372			
AX-578091295			
AX-578223193			
AX-578182524			
AX-578150785			
AX-578150783			
AX-578117133			
AX-578117136			
AX-578196378			
AX-578082933			
AX-578082934			
AX-578162247			
AX-578162273			
AX-578082966			
AX-578082967			
AX-578134577			
AX-578082968			
AX-578082969			
AX-578082974			
AX-578213779			
AX-578213780			
AX-578213781			
AX-578162254			
AX-578162255			
AX-578082950			
AX-578082953			
AX-578082954			
AX-578213786			
AX-578162265			
AX-578191487			
AX-578112216			
AX-578191477			
AX-578112224			
AX-578112227			
AX-578191483			
AX-578191485			
AX-578227584			
AX-578220026			
AX-578175944			
AX-578096670			
AX-578140820			
AX-578175954			
AX-578175958			
AX-578146198			
AX-578225407			
AX-578131002			
AX-578131005			
AX-578210229			
AX-578210230			
AX-578131004			
AX-578091794			
AX-578091799			
AX-578216233			
AX-578188898			
AX-578147135			
AX-578188895			
AX-578109639			
AX-578109640			
AX-578147130			
AX-578172613			
AX-578139272			
AX-578139266			
AX-578218475			
AX-578172603			
AX-578139269			
AX-578172605			
AX-578172606			
AX-578093325			
AX-578172610			
AX-578093329			
AX-578162171			
AX-578213733			
AX-578225234			
AX-578139658			
AX-578094152			
AX-578094145			
AX-578094146			
AX-578173432			
AX-578200691			
AX-578200692			
AX-578121455			
AX-578104348			
AX-578144550			
AX-578104350			
AX-578104351			
AX-578104340			
AX-578183605			
AX-578104343			
AX-578135597			
AX-578214807			
AX-578214803			
AX-578085087			
AX-578085094			
AX-578164396			
AX-578085097			
AX-578085099			
AX-578139624			
AX-578173348			
AX-578173350			
AX-578139620			
AX-578094069			
AX-578094070			
AX-578218829			
AX-578173356			
AX-578094076			
AX-578139623			
AX-578100427			
AX-578142685			
AX-578081356			
AX-578103955			
AX-578152512			
AX-578231722			
AX-578231723			
AX-578120787			
AX-578200024			
AX-578098972			
AX-578142031			
AX-578098975			
AX-578106746			
AX-578210649			
AX-578171737			
AX-578205785			
AX-578205773			
AX-578205774			
AX-578167160			
AX-578136761			
AX-578167155			
AX-578167156			
AX-578130063			
AX-578156913			
AX-578156914			
AX-578209285			
AX-578236125			
AX-578130056			
AX-578209279			
AX-578236121			
AX-578130061			
AX-578130062			
AX-578225544			
AX-578107999			
AX-578146339			
AX-578225548			
AX-578225550			
AX-578225551			
AX-578108007			
AX-578187268			
AX-578225552			
AX-578225540			
AX-578146333			
AX-578187251			
AX-578107992			
AX-578225542			
AX-578146335			
AX-578195108			
AX-578115868			
AX-578169934			
AX-578088262			
AX-578190865			
AX-578190866			
AX-578227290			
AX-578227292			
AX-578091148			
AX-578117579			
AX-578117580			
AX-578196824			
AX-578196825			
AX-578196827			
AX-578196807			
AX-578117574			
AX-578150991			
AX-578141804			
AX-578177874			
AX-578141807			
AX-578221015			
AX-578141809			
AX-578141812			
AX-578181833			
AX-578181834			
AX-578143681			
AX-578222889			
AX-578102557			
AX-578102558			
AX-578102559			
AX-578127742			
AX-578206939			
AX-578234962			
AX-578127726			
AX-578127729			
AX-578155757			
AX-578155758			
AX-578234967			
AX-578206946			
AX-578155761			
AX-578234974			
AX-578155767			
AX-578206954			
AX-578206955			
AX-578184383			
AX-578105124			
AX-578138322			
AX-578091190			
AX-578170476			
AX-578138325			
AX-578170477			
AX-578091197			
AX-578170461			
AX-578138323			
AX-578101573			
AX-578180844			
AX-578180846			
AX-578180850			
AX-578104960			
AX-578184224			
AX-578133026			
AX-578212237			
AX-578212238			
AX-578237620			
AX-578205692			
AX-578222287			
AX-578143081			
AX-578222290			
AX-578101219			
AX-578101221			
AX-578180479			
AX-578143077			
AX-578143078			
AX-578180481			
AX-578143079			
AX-578101214			
AX-578225742			
AX-578106125			
AX-578106127			
AX-578199197			
AX-578152118			
AX-578231332			
AX-578119960			
AX-578231326			
AX-578231328			
AX-578152122			
AX-578199193			
AX-578199195			
AX-578155203			
AX-578205645			
AX-578155205			
AX-578155206			
AX-578155202			
AX-578205643			
AX-578126421			
AX-578214008			
AX-578134799			
AX-578162725			
AX-578236276			
AX-578130352			
AX-578222737			
AX-578181507			
AX-578143531			
AX-578143534			
AX-578181508			
AX-578102244			
AX-578181513			
AX-578181517			
AX-578222743			
AX-578086057			
AX-578090049			
AX-578219007			
AX-578173737			
AX-578139800			
AX-578094458			
AX-578094459			
AX-578173745			
AX-578094464			
AX-578237064			
AX-578211146			
AX-578157853			
AX-578211147			
AX-578211148			
AX-578136227			
AX-578086597			
AX-578165892			
AX-578165888			
AX-578109383			
AX-578188642			
AX-578226197			
AX-578146991			
AX-578226200			
AX-578146995			
AX-578109378			
AX-578215986			
AX-578136778			
AX-578087905			
AX-578167197			
AX-578167191			
AX-578215983			
AX-578136776			
AX-578214307			
AX-578135091			
AX-578083963			
AX-578135096			
AX-578141511			
AX-578177264			
AX-578176907			
AX-578100849			
AX-578180113			
AX-578142875			
AX-578180114			
AX-578180115			
AX-578222086			
AX-578142880			
AX-578202618			
AX-578232248			
AX-578232249			
AX-578121836			
AX-578201071			
AX-578201072			
AX-578153039			
AX-578121842			
AX-578121831			
AX-578153287			
AX-578153282			
AX-578232489			
AX-578232490			
AX-578232491			
AX-578125569			
AX-578154753			
AX-578125571			
AX-578218129			
AX-578218131			
AX-578218132			
AX-578218133			
AX-578171760			
AX-578218126			
AX-578138919			
AX-578218128			
AX-578157488			
AX-578131114			
AX-578171839			
AX-578092556			
AX-578207625			
AX-578128410			
AX-578156115			
AX-578156116			
AX-578156117			
AX-578191286			
AX-578227502			
AX-578227504			
AX-578133822			
AX-578133825			
AX-578133828			
AX-578160652			
AX-578213039			
AX-578160656			
AX-578133830			
AX-578081344			
AX-578160658			
AX-578232717			
AX-578122941			
AX-578232716			
AX-578232721			
AX-578122942			
AX-578115786			
AX-578195032			
AX-578115795			
AX-578145792			
AX-578225003			
AX-578145796			
AX-578145797			
AX-578145799			
AX-578225008			
AX-578225010			
AX-578184209			
AX-578120289			
AX-578152286			
AX-578152288			
AX-578120290			
AX-578144466			
AX-578223674			
AX-578144468			
AX-578104188			
AX-578152586			
AX-578231794			
AX-578120904			
AX-578120910			
AX-578200148			
AX-578200149			
AX-578200150			
AX-578231792			
AX-578190444			
AX-578153347			
AX-578122583			
AX-578122584			
AX-578201817			
AX-578122545			
AX-578201778			
AX-578153348			
AX-578153349			
AX-578201787			
AX-578232556			
AX-578122559			
AX-578122560			
AX-578153352			
AX-578122561			
AX-578122562			
AX-578201794			
AX-578122564			
AX-578201797			
AX-578201801			
AX-578232563			
AX-578122571			
AX-578122572			
AX-578201813			
AX-578234324			
AX-578155114			
AX-578126228			
AX-578155115			
AX-578126233			
AX-578168193			
AX-578234419			
AX-578137400			
AX-578137399			
AX-578089077			
AX-578176910			
AX-578092041			
AX-578138703			
AX-578124231			
AX-578154144			
AX-578182881			
AX-578103606			
AX-578103611			
AX-578120375			
AX-578120377			
AX-578120380			
AX-578199619			
AX-578199622			
AX-578138695			
AX-578138696			
AX-578171301			
AX-578221383			
AX-578142179			
AX-578099327			
AX-578178589			
AX-578099322			
AX-578147819			
AX-578227028			
AX-578111036			
AX-578227029			
AX-578147823			
AX-578227034			
AX-578229751			
AX-578195906			
AX-578116667			
AX-578116669			
AX-578197935			
AX-578197936			
AX-578151521			
AX-578151516			
AX-578118693			
AX-578118694			
AX-578232668			
AX-578122844			
AX-578202077			
AX-578182834			
AX-578203802			
AX-578156919			
AX-578156920			
AX-578130081			
AX-578155249			
AX-578205744			
AX-578126521			
AX-578237807			
AX-578212601			
AX-578158597			
AX-578237811			
AX-578142466			
AX-578142463			
AX-578099908			
AX-578124993			
AX-578163427			
AX-578163430			
AX-578225737			
AX-578187618			
AX-578146531			
AX-578108350			
AX-578108351			
AX-578146525			
AX-578146526			
AX-578187610			
AX-578108353			
AX-578225735			
AX-578146528			
AX-578190853			
AX-578111600			
AX-578148075			
AX-578227284			
AX-578111594			
AX-578148077			
AX-578227286			
AX-578125086			
AX-578125087			
AX-578204312			
AX-578216358			
AX-578085748			
AX-578091284			
AX-578177619			
AX-578220896			
AX-578141690			
AX-578220898			
AX-578177621			
AX-578177622			
AX-578177605			
AX-578220892			
AX-578220893			
AX-578220894			
AX-578220895			
AX-578098332			
AX-578177607			
AX-578177611			
